Country Name,Country Code,Indicator Name,Indicator Code,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"Nanggroe Aceh Darussalam, Prop.",ID.AC,"Import: Crude materials, inedible, except fuels (province Level, in USD)",TRAD.IMPT.CRUD,,,,,,,,,,,,,,,,,,,,,,,9724458,10622254,6304993,213723,358110,1408767,579922,,4243,243054,585,5261,,,,,,,
"Nanggroe Aceh Darussalam, Prop.",ID.AC,"Import: Food and Live Animals (province Level, in USD)",TRAD.IMPT.FLVSK,,,,,,,,,,,,,,,,,,,,,,,8137402,10208195,38508,51783,192565,,1219627,6498001,8786900,13795740,5000586,480359,,,,,,,
"Nanggroe Aceh Darussalam, Prop.",ID.AC,"Import: Machinery and transport equipment (province Level, in USD)",TRAD.IMPT.MTRN,,,,,,,,,,,,,,,,,,,,,,,,29799825,39451242,96684081,8482604,20689626,44222412,4203096,3795534,3596674,367500000,77481897,,,,,,,
"Nanggroe Aceh Darussalam, Prop.",ID.AC,"Import: Manufactured goods, classified chiefly by material (province Level, in USD)",TRAD.IMPT.MANF,,,,,,,,,,,,,,,,,,,,,,,387343,10704652,10400299,4544645,11633784,16210618,3206891,5862890,14706887,10617058,9500943,26334229,,,,,,,
"Nanggroe Aceh Darussalam, Prop.",ID.AC,"Import: Mineral fuels, lubricants and related materials (province Level, in USD)",TRAD.IMPT.FUEL,,,,,,,,,,,,,,,,,,,,,,,8693125,2631840,5042894,11960612,306949,626989,52,15187,7091729,1033168,761,6906482,,,,,,,
"Nanggroe Aceh Darussalam, Prop.",ID.AC,"Import: Miscellaneous manufactures articles (province Level, in USD)",TRAD.IMPT.MANF.OTHR,,,,,,,,,,,,,,,,,,,,,,,132337,3610053,1154632,4471547,438316,1952903,541742,360039,689923,73725,90496,686080,,,,,,,
"Nanggroe Aceh Darussalam, Prop.",ID.AC,Infrastructure function expenditure (in IDR),FC.XPD.INFR.CR,,,,,,,,,,,,,,,,,,,,,,,,,,47523428858,1.12E+11,1.21E+11,1.77E+11,1.08E+11,1.55E+11,6.03E+11,1.97E+12,3.10E+12,2.15E+12,1.76E+12,2.07E+12,,,,
"Nanggroe Aceh Darussalam, Prop.",ID.AC,"Length of District Road: Asphalt (in km) (BPS Data, Province only)",ROD.DIST.ASPH.KM,,,,,,,,,,,,,,,,,,,,,,,,,,5713,5713,5713,5713,5815,6693,6368,7858,,,,,,,,
"Nanggroe Aceh Darussalam, Prop.",ID.AC,Length of District Road: Bad Damage (in km) (Bina Marga Data),ROD.DIST.BDMG.BM.KM,,,,,,,,,,,,,,,,,,,,,,,,927,927,,1763,,,,,,1333,,,,,,,,
"Nanggroe Aceh Darussalam, Prop.",ID.AC,"Length of District Road: Bad Damage (in km) (BPS Data, Province only)",ROD.DIST.BDMG.KM,,,,,,,,,,,,,,,,,,,,,,,,,,1332,1332,1332,1332,153,1544,2053,1906,,,,,,,,
"Nanggroe Aceh Darussalam, Prop.",ID.AC,"Length of District Road: Dirt (in km) (BPS Data, Province only)",ROD.DIST.DIRT.KM,,,,,,,,,,,,,,,,,,,,,,,,,,2296,2296,2296,2296,3548,244,3016,3722,,,,,,,,
"Nanggroe Aceh Darussalam, Prop.",ID.AC,Length of District Road: Fair (in km) (Bina Marga Data),ROD.DIST.FAIR.BM.KM,,,,,,,,,,,,,,,,,,,,,,,,2855,2855,,2996,,,,,,2886,,,,,,,,
"Nanggroe Aceh Darussalam, Prop.",ID.AC,"Length of District Road: Fair (in km) (BPS Data, Province only)",ROD.DIST.FAIR.KM,,,,,,,,,,,,,,,,,,,,,,,,,,2955,2955,2955,2955,8242,3224,2794,3978,,,,,,,,
"Nanggroe Aceh Darussalam, Prop.",ID.AC,Length of District Road: Good (in km) (Bina Marga Data),ROD.DIST.GOOD.BM.KM,,,,,,,,,,,,,,,,,,,,,,,,2746,2746,,2971,,,,,,3623,,,,,,,,
"Nanggroe Aceh Darussalam, Prop.",ID.AC,"Length of District Road: Good (in km) (BPS Data, Province only)",ROD.DIST.GOOD.KM,,,,,,,,,,,,,,,,,,,,,,,,,,5297,5297,5297,5297,3611,5656,4773,6979,,,,,,,,
"Nanggroe Aceh Darussalam, Prop.",ID.AC,"Length of District Road: Gravel (in km) (BPS Data, Province only)",ROD.DIST.GRAVL.KM,,,,,,,,,,,,,,,,,,,,,,,,,,289,289,289,289,5557,2958,2684,3312,,,,,,,,
